method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,74.0,MARC-generic,2020-07-07 08:54:50.844888,1.1098887437740104,0.9417567487742926,0.9858822139523894,0.9398021010412969,0.9447167345866818,0.9382736523133834,0.0,1.0431555133258679,0.7893018583626319,0.9123556002009041,0.7723896120967835,0.7927678608856105,0.7748122805351721,0.0
OURS,75.0,MARC-generic,2020-07-07 08:55:53.488523,1.108133539234418,0.941638608305275,0.9862957055939512,0.9401580948402057,0.944347109850354,0.9390785952591311,0.0,1.0414522344116468,0.7867905575087896,0.9136112506278252,0.771830105223442,0.7963994168633934,0.7729638667891681,0.0
OURS,76.0,MARC-generic,2020-07-07 08:56:56.232745,1.1072228224069485,0.9432335046370134,0.9867682674700219,0.9418040471553113,0.9463015053292639,0.9405400374688443,1.0,1.0371278701326705,0.796082370668006,0.914364640883978,0.7809801330089495,0.8051333067106689,0.7821362874073716,1.0
OURS,77.0,MARC-generic,2020-07-07 08:57:58.474305,1.1112949264205152,0.9433516451060311,0.9874771102841279,0.9417982755571015,0.946207331579726,0.9404206910368876,1.0,1.0336472248384427,0.7925665494726268,0.9138623807132095,0.7786145492249763,0.8014105964185695,0.7794970647380286,0.0
OURS,78.0,MARC-generic,2020-07-07 08:59:01.600474,1.0971663569846348,0.9442967688581724,0.9871817591115837,0.9425887768260779,0.9465751218321011,0.941328848660009,1.0,1.0332681896218339,0.796082370668006,0.9163736815670517,0.7816208257549394,0.8075898759677994,0.7812084334674697,0.0
OURS,79.0,MARC-generic,2020-07-07 09:00:04.232075,1.1041142627235088,0.9440604879201371,0.9876543209876543,0.9422917688497175,0.9463836732618578,0.9412777050370237,0.0,1.0298854549406522,0.7913108990457057,0.9171270718232044,0.7767716688922232,0.798204655805648,0.7791384708553385,0.0
OURS,80.0,MARC-generic,2020-07-07 09:01:07.107203,1.103399937605927,0.9454191033138402,0.9875361805186367,0.9440909718053554,0.9483914766957845,0.9426348461840741,1.0,1.0213472739887381,0.7913108990457057,0.9163736815670517,0.7729036861331288,0.7961074581372336,0.7750711804928673,0.0
OURS,81.0,MARC-generic,2020-07-07 09:02:09.574323,1.0900302898778897,0.9468367889420521,0.9878315316911808,0.945515140018979,0.950149693903495,0.9437175441658774,1.0,1.0380195847472493,0.7857860371672526,0.9173782019085887,0.7700899197801281,0.7988187029402201,0.7717775252413807,0.0
OURS,82.0,MARC-generic,2020-07-07 09:03:11.909829,1.0808002772788385,0.9471912103491051,0.9875952507531455,0.9458261390894347,0.9503535037602006,0.9442489729942032,1.0,1.0262230750545671,0.789552988448016,0.9156202913108991,0.7722091711270339,0.7983013224995862,0.7750118634154779,0.0
OURS,83.0,MARC-generic,2020-07-07 09:04:14.632883,1.0799781627329421,0.9462460865969637,0.9880678126292162,0.9449033837320294,0.9487725916611224,0.944010324050465,0.0,1.0285866389407519,0.7915620291310899,0.9141135107985937,0.7761441247812569,0.8006809144211696,0.7778172351967534,0.0
OURS,84.0,MARC-generic,2020-07-07 09:05:17.392416,1.0846734246040688,0.9466005080040167,0.9875952507531455,0.9450078025373609,0.9490799973584706,0.943701581482601,0.0,1.0264964776383998,0.7913108990457057,0.9181315921647414,0.7766690204733815,0.802785874813692,0.776439245716354,0.0
OURS,85.0,MARC-generic,2020-07-07 09:06:19.526549,1.0779063623536955,0.9473093508181227,0.9883040935672515,0.9460543537746663,0.9504193552829624,0.9444340362762408,1.0,1.0235398745997835,0.7915620291310899,0.9178804620793571,0.7754699552127624,0.8008253708139941,0.7765506024542169,0.0
OURS,86.0,MARC-generic,2020-07-07 09:07:22.965968,1.083809218232606,0.9504400732470908,0.988481304270778,0.9492729975790485,0.9532348369009063,0.9477697747108039,1.0,1.0189785670838962,0.7923154193872426,0.914364640883978,0.7776754008402692,0.7998315583804597,0.7796212823321257,0.0
OURS,87.0,MARC-generic,2020-07-07 09:08:25.743262,1.0837087686925597,0.948608895977317,0.9883040935672515,0.9476261583875067,0.9520016324616899,0.9459694995978447,0.0,1.0173746402960575,0.7938221998995479,0.9191361125062782,0.7784365057669932,0.8011102391228934,0.7802836721511421,0.0
OURS,88.0,MARC-generic,2020-07-07 09:09:27.718979,1.093176270426957,0.9486679662118258,0.988835725677831,0.9475337888104087,0.9513714891613068,0.9464818335517742,0.0,1.0245332285305293,0.7910597689603215,0.9141135107985937,0.7757044447220356,0.7992489792708469,0.7781653865991215,0.0
OURS,89.0,MARC-generic,2020-07-07 09:10:30.189240,1.0621177148879528,0.9498493709020025,0.9884222340362692,0.9485097756179457,0.9522638737930268,0.9475640906992214,0.0,1.0067310870921176,0.7948267202410849,0.9173782019085887,0.778942671659349,0.8020496960123111,0.7806292770148192,0.0
