class,classifier,precision,recall,f1_score,support
30623,Approach2_Step2,1.0,1.0,1.0,2.0
31068,Approach2_Step2,1.0,1.0,1.0,5.0
32046,Approach2_Step2,1.0,1.0,1.0,5.0
33575,Approach2_Step2,1.0,1.0,1.0,2.0
33732,Approach2_Step2,1.0,1.0,1.0,4.0
34007,Approach2_Step2,1.0,1.0,1.0,2.0
34478,Approach2_Step2,0.0,0.0,0.0,2.0
35566,Approach2_Step2,0.9,1.0,0.95,9.0
35752,Approach2_Step2,1.0,1.0,1.0,6.0
36545,Approach2_Step2,0.0,0.0,0.0,3.0
36555,Approach2_Step2,1.0,0.67,0.8,3.0
36660,Approach2_Step2,1.0,1.0,1.0,2.0
36697,Approach2_Step2,1.0,0.83,0.91,6.0
37293,Approach2_Step2,1.0,1.0,1.0,2.0
38768,Approach2_Step2,1.0,1.0,1.0,5.0
41378,Approach2_Step2,0.67,1.0,0.8,2.0
42319,Approach2_Step2,0.0,0.0,0.0,3.0
42599,Approach2_Step2,1.0,1.0,1.0,2.0
45216,Approach2_Step2,1.0,0.8,0.89,5.0
47920,Approach2_Step2,1.0,1.0,1.0,2.0
49030,Approach2_Step2,1.0,1.0,1.0,5.0
51783,Approach2_Step2,1.0,1.0,1.0,2.0
54164,Approach2_Step2,1.0,1.0,1.0,2.0
