method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,54.0,MARC-geo_only,2020-07-05 16:47:26.118085,0.6818318818125472,0.9620658135283364,0.9947440585009141,0.9595125362596956,0.9689603218985738,0.9568736243931357,1.0,0.6960122440194033,0.8614900314795383,0.9548793284365162,0.8365649742414448,0.8632781385281385,0.8405674603174602,0.0
OURS,55.0,MARC-geo_only,2020-07-05 16:47:28.882883,0.6674044770776026,0.9657221206581352,0.9942870201096892,0.9629404093172741,0.9709999213047471,0.9605486096922535,1.0,0.6958952266547012,0.8604407135362014,0.9548793284365162,0.8332384010325187,0.8529823232323231,0.8410912698412699,0.0
OURS,56.0,MARC-geo_only,2020-07-05 16:47:31.637326,0.6381483325356757,0.9627513711151737,0.9938299817184644,0.9604610772563503,0.9675812078025449,0.9590658957070468,0.0,0.6992859210572738,0.8656873032528857,0.9538300104931794,0.8405978922328027,0.8646991341991342,0.8475674603174603,0.0
OURS,57.0,MARC-geo_only,2020-07-05 16:47:34.399140,0.6687149306319967,0.9638939670932358,0.9942870201096892,0.9622292528465293,0.9698080926912678,0.9599725438579974,0.0,0.6849434320098581,0.8646379853095488,0.9517313746065058,0.840952528881557,0.8629081289081288,0.8475912698412699,0.0
OURS,58.0,MARC-geo_only,2020-07-05 16:47:37.717989,0.6569270189762987,0.9668647166361974,0.993601462522852,0.9653224203992291,0.9723082415980319,0.9637390614605447,1.0,0.6987441115839659,0.8646379853095488,0.9548793284365162,0.8436898068541292,0.8685800865800866,0.8501190476190476,0.0
OURS,59.0,MARC-geo_only,2020-07-05 16:47:40.477406,0.6655749171917792,0.9657221206581352,0.995201096892139,0.9635890950259842,0.9714302260921496,0.9621406529299013,0.0,0.6907998377228584,0.863588667366212,0.9559286463798531,0.844279118958147,0.8731541606541606,0.8470119047619047,0.0
OURS,60.0,MARC-geo_only,2020-07-05 16:47:43.210830,0.6361912316770396,0.9668647166361974,0.9942870201096892,0.9642274758141302,0.9711876784272071,0.9630950683942581,0.0,0.6863750760352624,0.8709338929695698,0.9548793284365162,0.850256437935466,0.875013949013949,0.8554563492063492,0.0
OURS,61.0,MARC-geo_only,2020-07-05 16:47:46.003547,0.6394784876589801,0.9696069469835467,0.9954296160877514,0.9679398530929336,0.9743403219203983,0.9664445270203907,1.0,0.6938185923872564,0.8719832109129066,0.9527806925498427,0.8557333875275053,0.8859783549783551,0.8571150793650792,1.0
OURS,62.0,MARC-geo_only,2020-07-05 16:47:48.754483,0.6111475140455654,0.9689213893967094,0.9958866544789763,0.9671611740142345,0.9747663009112134,0.9647212149400017,0.0,0.681099577190243,0.8719832109129066,0.9527806925498427,0.8518314970203514,0.8832997835497834,0.8540674603174603,0.0
OURS,63.0,MARC-geo_only,2020-07-05 16:47:51.501210,0.6213072457740686,0.9696069469835467,0.9965722120658135,0.9680099693112683,0.9741829488630809,0.9659752350356773,0.0,0.6828810435026915,0.8677859391395593,0.9559286463798531,0.8445815008291788,0.8677063492063493,0.8503968253968253,0.0
OURS,64.0,MARC-geo_only,2020-07-05 16:47:54.258278,0.6183306569917982,0.9684643510054844,0.9961151736745887,0.9667524971007024,0.9741239491649306,0.9645692079963281,0.0,0.675980711095856,0.8688352570828961,0.9538300104931794,0.8439746386511093,0.865902356902357,0.850813492063492,0.0
