method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,31.0,MARC-specific,2020-07-05 19:06:29.498525,0.10650840783249321,1.0,1.0,1.0,1.0,1.0,0.0,0.1388051179124088,0.9899569583931134,0.9971305595408895,0.9857800230857225,0.9866148531951641,0.98760177646188,0.0
OURS,32.0,MARC-specific,2020-07-05 19:06:37.604094,0.10541057358335588,1.0,1.0,1.0,1.0,1.0,0.0,0.13596422698781685,0.9913916786226685,0.9985652797704447,0.9874682600071201,0.9871329879101899,0.9897606711078213,0.0
OURS,33.0,MARC-specific,2020-07-05 19:06:45.788208,0.10542863159495977,1.0,1.0,1.0,1.0,1.0,0.0,0.1330107390196457,0.9928263988522238,0.9971305595408895,0.9887841576960748,0.9881692573402416,0.9910560078953861,0.0
OURS,34.0,MARC-specific,2020-07-05 19:06:53.940892,0.10257831738212347,1.0,1.0,1.0,1.0,1.0,0.0,0.13003636342894226,0.994261119081779,0.9985652797704447,0.9903961323650442,0.9892055267702936,0.9927831236121392,1.0
OURS,35.0,MARC-specific,2020-07-05 19:07:01.971218,0.09987757729693283,1.0,1.0,1.0,1.0,1.0,0.0,0.1291433904357415,0.9928263988522238,0.9985652797704447,0.9887841576960748,0.9881692573402416,0.9910560078953861,0.0
OURS,36.0,MARC-specific,2020-07-05 19:07:10.116003,0.10301038390142792,1.0,1.0,1.0,1.0,1.0,0.0,0.13153547732696644,0.9928263988522238,0.9985652797704447,0.9887841576960748,0.9881692573402416,0.9910560078953861,0.0
OURS,37.0,MARC-specific,2020-07-05 19:07:18.274614,0.09775830337372675,1.0,1.0,1.0,1.0,1.0,0.0,0.13166414134984722,0.9928263988522238,0.9956958393113343,0.9887841576960748,0.9881692573402416,0.9910560078953861,0.0
OURS,38.0,MARC-specific,2020-07-05 19:07:26.381626,0.09722342186996058,1.0,1.0,1.0,1.0,1.0,0.0,0.1262121873144782,0.9928263988522238,0.9971305595408895,0.9887841576960748,0.9881692573402416,0.9910560078953861,0.0
OURS,39.0,MARC-specific,2020-07-05 19:07:34.489650,0.09928379348603544,1.0,1.0,1.0,1.0,1.0,0.0,0.12652616745857803,0.9928263988522238,0.9985652797704447,0.9893598629349925,0.9892055267702936,0.9910560078953861,0.0
OURS,40.0,MARC-specific,2020-07-05 19:07:42.617756,0.0966241128623836,1.0,1.0,1.0,1.0,1.0,0.0,0.12749883925897662,0.9913916786226685,0.9971305595408895,0.9872768567069086,0.9873056994818652,0.9893288921786331,0.0
